sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
37880788108,2022-08-04T08:49:00Z,79,21,19,39,97,57,0.14769520225776106
37873525476,2022-08-03T07:55:00Z,76,20,20,36,65,58,0.13076923076923078
37861614536,2022-08-02T09:13:00Z,77,17,20,40,90,56,0.1267056530214425
37846312363,2022-08-01T07:02:00Z,76,18,19,39,102,56,0.13685239491691104
37836014066,2022-07-31T05:09:00Z,62,15,21,26,36,56,0.10256410256410256
37824262365,2022-07-30T07:35:30Z,87,22,21,44,89,57,0.09649871904355252
37816843907,2022-07-29T08:27:00Z,71,18,19,34,83,56,0.17444444444444446
37800138048,2022-07-28T08:22:00Z,77,20,19,38,70,56,0.13990610328638498
37792432802,2022-07-27T09:42:00Z,71,16,20,35,64,57,0.13906111603188662
37781989976,2022-07-26T10:00:30Z,46,16,18,12,37,56,0.1956124314442413
37778208030,2022-07-26T03:06:30Z,58,13,20,25,19,56,0.13394919168591224
37764966890,2022-07-25T07:15:00Z,62,18,17,27,57,55,0.16606929510155316
37748804316,2022-07-24T08:53:30Z,75,19,17,39,60,55,0.15309126594700687
37741369888,2022-07-23T08:30:00Z,55,14,16,25,12,54,0.1709090909090909
37735524871,2022-07-23T02:32:30Z,64,15,22,27,29,54,0.07733333333333334
37728594932,2022-07-22T06:10:30Z,73,17,21,35,47,54,0.082010582010582
37711205443,2022-07-21T07:50:30Z,71,19,20,32,76,55,0.11923509561304838
37699757395,2022-07-20T08:48:30Z,82,22,20,40,94,55,0.12749003984063745
37687445314,2022-07-19T07:29:00Z,77,21,19,37,51,56,0.1377825618945102
37678082403,2022-07-18T09:23:30Z,80,18,19,43,76,57,0.13624454148471615
37665877838,2022-07-17T09:12:00Z,75,21,20,34,91,56,0.13052631578947368
37652456726,2022-07-16T08:50:00Z,81,19,21,41,71,55,0.08714596949891068
37641202300,2022-07-15T09:28:00Z,73,17,19,37,69,55,0.14807872539831302
37631172988,2022-07-14T10:10:30Z,79,18,18,43,87,54,0.1396797153024911
37620210429,2022-07-13T08:45:00Z,76,21,19,36,88,54,0.12625698324022347
37605746904,2022-07-12T08:57:00Z,85,21,20,44,63,54,0.10813226094727435
37593542785,2022-07-11T08:53:30Z,86,21,21,44,90,55,0.12215132178669097
37583171710,2022-07-10T07:15:00Z,75,21,20,34,65,54,0.09701492537313433
37573726516,2022-07-09T10:16:30Z,57,15,19,23,25,54,0.14640198511166252
37570397278,2022-07-09T05:53:30Z,62,15,21,26,38,54,0.10471204188481675
37559185871,2022-07-08T08:48:00Z,80,21,21,38,82,54,0.12410256410256411
37550360315,2022-07-07T09:29:00Z,84,19,21,44,72,54,0.10060711188204684
37535412367,2022-07-06T07:19:00Z,77,21,21,35,59,54,0.10656753407682776
37525725635,2022-07-05T08:53:30Z,78,17,19,42,77,54,0.14333057166528584
37516826740,2022-07-04T08:52:30Z,83,21,21,41,59,54,0.09687184661957618
37500638466,2022-07-03T09:06:30Z,75,19,18,38,38,54,0.1415525114155251
37487983180,2022-07-02T09:44:30Z,82,21,18,43,73,54,0.1412478336221837
37480203225,2022-07-01T09:09:30Z,78,18,20,40,28,54,0.12169312169312169
37465597865,2022-06-30T08:46:00Z,75,19,19,37,85,54,0.11089681774349083
37450636587,2022-06-29T08:29:30Z,86,21,20,45,99,53,0.0784313725490196
37440212316,2022-06-28T09:36:00Z,82,19,20,43,79,53,0.10334110334110334
37428620225,2022-06-27T09:11:30Z,85,20,21,44,105,54,0.11082693947144075
37416426256,2022-06-26T07:52:30Z,75,19,21,35,37,54,0.07277289836888332
37403461134,2022-06-25T09:27:30Z,73,17,21,35,83,55,0.10837988826815642
37392956971,2022-06-24T07:14:30Z,73,19,20,34,71,55,0.11826821541710665
37382464761,2022-06-23T09:10:00Z,71,16,20,35,28,55,0.11599099099099099
37367851151,2022-06-22T08:57:30Z,75,19,20,36,53,56,0.11052631578947368
37362895840,2022-06-21T23:28:00Z,61,15,18,28,32,55,0.08115183246073299
37355527908,2022-06-21T09:16:00Z,81,20,21,40,54,55,0.09598432908912831
37339121394,2022-06-20T08:21:30Z,76,19,21,36,80,56,0.12010919017288443
37329092351,2022-06-19T07:58:30Z,77,19,20,38,110,56,0.10867492850333652
37317550601,2022-06-18T08:22:30Z,76,21,19,36,49,56,0.1331945889698231
37308218147,2022-06-17T09:30:00Z,77,19,19,39,69,55,0.13213213213213212
37296982010,2022-06-16T07:40:30Z,75,19,22,34,17,55,0.06267806267806268
37257897637,2022-06-13T08:22:30Z,74,21,21,32,78,56,0.11259754738015608
37245034469,2022-06-12T06:56:00Z,77,20,22,35,57,55,0.07427785419532325
37234771309,2022-06-11T09:54:00Z,79,20,21,38,72,55,0.09944751381215469
